year,tpop,area,area_km,tpop_mn
1986,1237058,6377944549,6377.944549,1.237058
1987,1276727,6255602083,6255.602083,1.276727
1988,1316383,6075603106,6075.603106,1.316383
1989,1356056,5829241822,5829.241822,1.356056
1990,1395701,5409810185,5409.810185,1.395701
1991,1435375,5361499024,5361.499024,1.435375
1992,1475045,5114135093,5114.135093,1.475045
1993,1514694,5383624418,5383.624418,1.514694
1994,1554352,4671535669,4671.535669,1.554352
1995,1594009,4855778278,4855.778278,1.594009
1996,1633684,5003585347,5003.585347,1.633684
1997,1673339,5334312016,5334.312016,1.673339
1998,1712989,5630968270,5630.96827,1.712989
1999,1752656,5507496623,5507.496623,1.752656
2000,1792338,5330557807,5330.557807,1.792338
2001,1831984,4989547774,4989.547774,1.831984
2002,1871647,4851414313,4851.414313,1.871647
2003,1911315,4407485495,4407.485495,1.911315
2004,1950961,4384495173,4384.495173,1.950961
2005,1990611,4666533336,4666.533336,1.990611
2006,2030276,4887741149,4887.741149,2.030276
2007,2069943,4474492147,4474.492147,2.069943
2008,2109600,4475318873,4475.318873,2.1096
2009,2149273,4399915128,4399.915128,2.149273
2010,2107222,4190369352,4190.369352,2.107222
2011,2153293,4897331652,4897.331652,2.153293
2013,2232613,4345565752,4345.565752,2.232613
2014,2268634,4347396809,4347.396809,2.268634
2015,2304855,4119028165,4119.028165,2.304855
2016,2340829,3764958673,3764.958673,2.340829
2017,2377813,4335851637,4335.851637,2.377813
2018,2417783,3762786699,3762.786699,2.417783
2019,2457744,4386042382,4386.042382,2.457744
2020,2498459,3931427137,3931.427137,2.498459
